clust_xyz,Count,driver_mut,no_of_members,avg_count,max,min
0,277,1,122,2.270491803,37,1
1,137,0,80,1.7125,6,1
2,498,4,87,5.724137931,219,1
3,192,0,121,1.58677686,4,1
4,828,6,87,9.517241379,299,1
5,1067,1,102,10.46078431,852,1
6,157,1,81,1.938271605,15,1
7,244,0,122,2,12,1
8,380,3,127,2.992125984,51,1
9,221,1,74,2.986486486,18,1
10,133,0,86,1.546511628,6,1
11,185,0,93,1.989247312,15,1
12,301,1,59,5.101694915,104,1
13,210,0,117,1.794871795,11,1
14,163,0,64,2.546875,12,1
15,166,0,82,2.024390244,6,1
16,184,0,93,1.978494624,12,1
17,993,7,62,16.01612903,451,1
18,281,1,104,2.701923077,25,1
19,225,0,93,2.419354839,23,1
20,119,0,58,2.051724138,11,1
21,597,4,46,12.97826087,283,1
22,138,0,62,2.225806452,10,1
23,213,2,80,2.6625,19,1
24,124,1,77,1.61038961,5,1
25,125,1,76,1.644736842,6,1
26,4925,6,44,111.9318182,2171,1
27,98,0,47,2.085106383,20,1
28,457,1,86,5.313953488,258,1
29,136,1,51,2.666666667,46,1
30,98,2,57,1.719298246,5,1
31,104,0,57,1.824561404,9,1
